# Assembly	Level	WGS	Chrs	BioSample	Strain	Taxonomy	Genus
GCA_002983785.1	Complete genome	undefined	2	SAMN06173336	FDAARGOS_323	Enterococcus faecium	Enterococcus
GCA_016727585.1	Complete genome	undefined	2	SAMN16357255	FDAARGOS_1086	Staphylococcus aureus	Staphylococcus
GCA_016889145.1	Complete genome	undefined	3	SAMN16357388	FDAARGOS_1246	Staphylococcus aureus	Staphylococcus
GCA_016889945.1	Complete genome	undefined	2	SAMN16357387	FDAARGOS_1245	Staphylococcus aureus	Staphylococcus
GCA_006364675.1	Complete genome	undefined	3	SAMN11056488	FDAARGOS_773	Staphylococcus aureus	Staphylococcus
GCA_006364775.1	Complete genome	undefined	2	SAMN11056481	FDAARGOS_766	Staphylococcus aureus	Staphylococcus
GCA_008693765.1	Complete genome	undefined	2	SAMN11056375	FDAARGOS_660	Staphylococcus aureus	Staphylococcus
GCA_001019485.2	Complete genome	undefined	1	SAMN03255474	FDAARGOS_35	Staphylococcus aureus	Staphylococcus
GCA_001018845.2	Complete genome	undefined	1	SAMN03255460	FDAARGOS_21	Staphylococcus aureus	Staphylococcus
GCA_001018775.2	Complete genome	undefined	1	SAMN03255453	FDAARGOS_14	Staphylococcus aureus	Staphylococcus
GCA_001018685.2	Complete genome	undefined	1	SAMN03255444	FDAARGOS_4	Staphylococcus aureus	Staphylococcus
GCA_001019535.2	Complete genome	undefined	1	SAMN03255481	FDAARGOS_42	Staphylococcus aureus	Staphylococcus
GCA_001018975.2	Complete genome	undefined	1	SAMN03255469	FDAARGOS_30	Staphylococcus aureus	Staphylococcus
GCA_001018915.2	Complete genome	undefined	1	SAMN03255466	FDAARGOS_27	Staphylococcus aureus	Staphylococcus
GCA_001019435.2	Complete genome	undefined	1	SAMN03255464	FDAARGOS_25	Staphylococcus aureus	Staphylococcus
GCA_001019415.2	Complete genome	undefined	1	SAMN03255463	FDAARGOS_24	Staphylococcus aureus	Staphylococcus
GCA_001019395.2	Complete genome	undefined	1	SAMN03255459	FDAARGOS_20	Staphylococcus aureus	Staphylococcus
GCA_001018735.2	Complete genome	undefined	2	SAMN03255451	FDAARGOS_12	Staphylococcus aureus	Staphylococcus
GCA_001019275.2	Complete genome	undefined	2	SAMN03255446	FDAARGOS_7	Staphylococcus aureus	Staphylococcus
