bioproject	biosample	biosamplemodel	assembly_acs	assembly_filename	sra_run_acs	genbank_acs	sample name	strain	culture_collection	strain_name_alias	organism_name	species	serotype	pathotype	identification_method	mlst_scheme	mlst_st	mlst_profile	mlst_calling_software	molecule_type	size	gc	md5	release_date	genbank_ftp	refseq_ftp	assembly_acs	sra study	experiment	run	assay type	platform	instrument	librarylayout	libraryselection	librarysource	library name	avgspotlen	estimated_coverage	bases	bytes	center name	consent	datastore filetype	datastore provider	datastore region	releasedate	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	isolation_source	lat_lon	collected_by	collection_date	host
PRJDB5007	SAMD00056130		GCA_002357915.1	GCF_002357915.1_ASM235791v1	DRR065946	NZ_AP017610.1	DRS043043	20Ec-P-124			Escherichia coli	Escherichia coli				ecoli	117	adk(20), fumC(45), gyrB(41), icd(43), mdh(5), purA(32), recA(2)	mlst v. 2.19.0	chromosome	4920828	50.82358091	175301b18a711b7cf2c08483a272922a	2017-04-06T23:03:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/357/915/GCA_002357915.1_ASM235791v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/357/915/GCF_002357915.1_ASM235791v1	GCA_002357915.1	DRP003586	DRX060089	DRR065946	WGS	ILLUMINA	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	MRY16-002_MiSeq	537	156.9411448	784705724	505880122	NIID	public	realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	2017-04-06T00:00:00Z	Japan	Asia	Japan				2008	Sus scrofa
PRJDB5007	SAMD00056130		GCA_002357915.1	GCF_002357915.1_ASM235791v1	DRR065946	NZ_AP017611.1	DRS043043	20Ec-P-124			Escherichia coli	Escherichia coli				ecoli	117	adk(20), fumC(45), gyrB(41), icd(43), mdh(5), purA(32), recA(2)	mlst v. 2.19.0	plasmid	168972	47.6966598	d0245752458266b5dbab4bcb04ebd0bd	2017-04-06T23:03:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/357/915/GCA_002357915.1_ASM235791v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/357/915/GCF_002357915.1_ASM235791v1	GCA_002357915.1	DRP003586	DRX060089	DRR065946	WGS	ILLUMINA	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	MRY16-002_MiSeq	537	156.9411448	784705724	505880122	NIID	public	realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	2017-04-06T00:00:00Z	Japan	Asia	Japan				2008	Sus scrofa
PRJDB5007	SAMD00056130		GCA_002357915.1	GCF_002357915.1_ASM235791v1	DRR065946	NZ_AP017612.1	DRS043043	20Ec-P-124			Escherichia coli	Escherichia coli				ecoli	117	adk(20), fumC(45), gyrB(41), icd(43), mdh(5), purA(32), recA(2)	mlst v. 2.19.0	plasmid	108986	46.09399372	d4967ef9dcf5f9aff8084d39e0521cf7	2017-04-06T23:03:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/357/915/GCA_002357915.1_ASM235791v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/357/915/GCF_002357915.1_ASM235791v1	GCA_002357915.1	DRP003586	DRX060089	DRR065946	WGS	ILLUMINA	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	MRY16-002_MiSeq	537	156.9411448	784705724	505880122	NIID	public	realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	2017-04-06T00:00:00Z	Japan	Asia	Japan				2008	Sus scrofa
PRJDB5007	SAMD00056130		GCA_002357915.1	GCF_002357915.1_ASM235791v1	DRR065946	NZ_AP017613.1	DRS043043	20Ec-P-124			Escherichia coli	Escherichia coli				ecoli	117	adk(20), fumC(45), gyrB(41), icd(43), mdh(5), purA(32), recA(2)	mlst v. 2.19.0	plasmid	108957	53.05120369	529113f1dd4383156eed698154c3c287	2017-04-06T23:03:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/357/915/GCA_002357915.1_ASM235791v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/357/915/GCF_002357915.1_ASM235791v1	GCA_002357915.1	DRP003586	DRX060089	DRR065946	WGS	ILLUMINA	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	MRY16-002_MiSeq	537	156.9411448	784705724	505880122	NIID	public	realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	2017-04-06T00:00:00Z	Japan	Asia	Japan				2008	Sus scrofa
PRJDB5007	SAMD00056130		GCA_002357915.1	GCF_002357915.1_ASM235791v1	DRR065946	NZ_AP017614.1	DRS043043	20Ec-P-124			Escherichia coli	Escherichia coli				ecoli	117	adk(20), fumC(45), gyrB(41), icd(43), mdh(5), purA(32), recA(2)	mlst v. 2.19.0	plasmid	61805	42.4900898	9a10b6338a12fbbe4895dc1683ede7f6	2017-04-06T23:03:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/357/915/GCA_002357915.1_ASM235791v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/357/915/GCF_002357915.1_ASM235791v1	GCA_002357915.1	DRP003586	DRX060089	DRR065946	WGS	ILLUMINA	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	MRY16-002_MiSeq	537	156.9411448	784705724	505880122	NIID	public	realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	2017-04-06T00:00:00Z	Japan	Asia	Japan				2008	Sus scrofa
PRJDB5007	SAMD00056130		GCA_002357915.1	GCF_002357915.1_ASM235791v1	DRR065946	NZ_AP017615.1	DRS043043	20Ec-P-124			Escherichia coli	Escherichia coli				ecoli	117	adk(20), fumC(45), gyrB(41), icd(43), mdh(5), purA(32), recA(2)	mlst v. 2.19.0	plasmid	6078	49.09509707	18f6e4cd85590d0efc1e30e18a17c6d1	2017-04-06T23:03:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/357/915/GCA_002357915.1_ASM235791v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/357/915/GCF_002357915.1_ASM235791v1	GCA_002357915.1	DRP003586	DRX060089	DRR065946	WGS	ILLUMINA	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	MRY16-002_MiSeq	537	156.9411448	784705724	505880122	NIID	public	realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	2017-04-06T00:00:00Z	Japan	Asia	Japan				2008	Sus scrofa
PRJDB5007	SAMD00056130		GCA_002357915.1	GCF_002357915.1_ASM235791v1	DRR065946	NZ_AP017616.1	DRS043043	20Ec-P-124			Escherichia coli	Escherichia coli				ecoli	117	adk(20), fumC(45), gyrB(41), icd(43), mdh(5), purA(32), recA(2)	mlst v. 2.19.0	plasmid	4073	51.46083968	f7d59de388cebfe17afe9ba4ca38ea79	2017-04-06T23:03:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/357/915/GCA_002357915.1_ASM235791v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/357/915/GCF_002357915.1_ASM235791v1	GCA_002357915.1	DRP003586	DRX060089	DRR065946	WGS	ILLUMINA	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	MRY16-002_MiSeq	537	156.9411448	784705724	505880122	NIID	public	realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	2017-04-06T00:00:00Z	Japan	Asia	Japan				2008	Sus scrofa
PRJDB5007	SAMD00056131		GCA_002357895.1	GCF_002357895.1_ASM235789v1	DRR065947	NZ_AP017617.1	DRS043044	MRY15-117			Escherichia coli	Escherichia coli				ecoli	457	adk(101), fumC(88), gyrB(97), icd(108), mdh(26), purA(79), recA(2)	mlst v. 2.19.0	chromosome	5117319	50.32160395	572e3e3524122cff9dc7e17929f7c1e4	2017-04-06T23:03:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/357/895/GCA_002357895.1_ASM235789v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/357/895/GCF_002357895.1_ASM235789v1	GCA_002357895.1	DRP003586	DRX060090	DRR065947	WGS	ILLUMINA	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	MRY15-117_MiSeq	600	139.74252	698712600	487123908	NIID	public	realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	2017-04-06T00:00:00Z	Japan	Asia	Japan				2012	Bos taurus
PRJDB5007	SAMD00056131		GCA_002357895.1	GCF_002357895.1_ASM235789v1	DRR065947	NZ_AP017618.1	DRS043044	MRY15-117			Escherichia coli	Escherichia coli				ecoli	457	adk(101), fumC(88), gyrB(97), icd(108), mdh(26), purA(79), recA(2)	mlst v. 2.19.0	plasmid	116529	50.65005278	e8c1a16ca2c5323b13ecae869028461e	2017-04-06T23:03:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/357/895/GCA_002357895.1_ASM235789v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/357/895/GCF_002357895.1_ASM235789v1	GCA_002357895.1	DRP003586	DRX060090	DRR065947	WGS	ILLUMINA	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	MRY15-117_MiSeq	600	139.74252	698712600	487123908	NIID	public	realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	2017-04-06T00:00:00Z	Japan	Asia	Japan				2012	Bos taurus
PRJDB5007	SAMD00056131		GCA_002357895.1	GCF_002357895.1_ASM235789v1	DRR065947	NZ_AP017619.1	DRS043044	MRY15-117			Escherichia coli	Escherichia coli				ecoli	457	adk(101), fumC(88), gyrB(97), icd(108), mdh(26), purA(79), recA(2)	mlst v. 2.19.0	plasmid	61223	42.43503259	08def50f5b6217f438bda4c253b294ed	2017-04-06T23:03:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/357/895/GCA_002357895.1_ASM235789v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/357/895/GCF_002357895.1_ASM235789v1	GCA_002357895.1	DRP003586	DRX060090	DRR065947	WGS	ILLUMINA	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	MRY15-117_MiSeq	600	139.74252	698712600	487123908	NIID	public	realign,sra,wgmlst_sig	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	2017-04-06T00:00:00Z	Japan	Asia	Japan				2012	Bos taurus
