input_file_name	gene_symbol	analysis_software_name
GCA_006364295.1_ASM636429v1_genomic	oqxA6	abricate
GCA_006364295.1_ASM636429v1_genomic	oqxB4	abricate
GCA_006364295.1_ASM636429v1_genomic	fosA_gen	abricate
GCA_006364295.1_ASM636429v1_genomic	blaSHV-187	abricate
GCA_006364295.1_ASM636429v1_genomic	mdtB	srax
GCA_006364295.1_ASM636429v1_genomic	mdtC	srax
GCA_006364295.1_ASM636429v1_genomic	AAC(6')-Ib'	srax
GCA_006364295.1_ASM636429v1_genomic	AAC(3)-IIe	srax
GCA_006364295.1_ASM636429v1_genomic	AAC(3)-IV	srax
GCA_006364295.1_ASM636429v1_genomic	AAC(6')-33	srax
GCA_006364295.1_ASM636429v1_genomic	AAC(6')-Ie-APH(2'')-Ia	srax
GCA_006364295.1_ASM636429v1_genomic	AAC(6')-IIc	srax
GCA_006364295.1_ASM636429v1_genomic	aad(6)	srax
GCA_006364295.1_ASM636429v1_genomic	aadA2	srax
GCA_006364295.1_ASM636429v1_genomic	aadA16	srax
GCA_006364295.1_ASM636429v1_genomic	aadA5	srax
GCA_006364295.1_ASM636429v1_genomic	acrD	srax
GCA_006364295.1_ASM636429v1_genomic	ANT(2'')-Ia	srax
GCA_006364295.1_ASM636429v1_genomic	ANT(4')-Ib	srax
GCA_006364295.1_ASM636429v1_genomic	APH(3'')-Ib	srax
GCA_006364295.1_ASM636429v1_genomic	APH(3')-Ia	srax
GCA_006364295.1_ASM636429v1_genomic	APH(3')-IIIa	srax
GCA_006364295.1_ASM636429v1_genomic	APH(3')-VI	srax
GCA_006364295.1_ASM636429v1_genomic	APH(4)-Ia	srax
GCA_006364295.1_ASM636429v1_genomic	APH(6)-Id	srax
GCA_006364295.1_ASM636429v1_genomic	armA	srax
GCA_006364295.1_ASM636429v1_genomic	rmtB	srax
GCA_006364295.1_ASM636429v1_genomic	rmtC	srax
GCA_006364295.1_ASM636429v1_genomic	rmtF	srax
GCA_006364295.1_ASM636429v1_genomic	cphA3	srax
GCA_006364295.1_ASM636429v1_genomic	NDM-1	srax
GCA_006364295.1_ASM636429v1_genomic	IMP-4	srax
GCA_006364295.1_ASM636429v1_genomic	VIM-6	srax
GCA_006364295.1_ASM636429v1_genomic	OXA-2	srax
GCA_006364295.1_ASM636429v1_genomic	SHV-5	srax
GCA_006364295.1_ASM636429v1_genomic	CMY-2	srax
GCA_006364295.1_ASM636429v1_genomic	CTX-M-15	srax
GCA_006364295.1_ASM636429v1_genomic	CTX-M-14	srax
GCA_006364295.1_ASM636429v1_genomic	DHA-7	srax
GCA_006364295.1_ASM636429v1_genomic	FOX-5	srax
GCA_006364295.1_ASM636429v1_genomic	OXA-1	srax
GCA_006364295.1_ASM636429v1_genomic	OXA-10	srax
GCA_006364295.1_ASM636429v1_genomic	OXA-23	srax
GCA_006364295.1_ASM636429v1_genomic	OXA-12	srax
GCA_006364295.1_ASM636429v1_genomic	OXA-232	srax
GCA_006364295.1_ASM636429v1_genomic	OXA-9	srax
GCA_006364295.1_ASM636429v1_genomic	dfrA1	srax
GCA_006364295.1_ASM636429v1_genomic	dfrA12	srax
GCA_006364295.1_ASM636429v1_genomic	dfrA14	srax
GCA_006364295.1_ASM636429v1_genomic	dfrA17	srax
GCA_006364295.1_ASM636429v1_genomic	dfrA19	srax
GCA_006364295.1_ASM636429v1_genomic	dfrA25	srax
GCA_006364295.1_ASM636429v1_genomic	dfrA27	srax
GCA_006364295.1_ASM636429v1_genomic	dfrA3b	srax
GCA_006364295.1_ASM636429v1_genomic	qacA	srax
GCA_006364295.1_ASM636429v1_genomic	QnrB19	srax
GCA_006364295.1_ASM636429v1_genomic	QnrB35	srax
GCA_006364295.1_ASM636429v1_genomic	QnrS1	srax
GCA_006364295.1_ASM636429v1_genomic	AcrF	srax
GCA_006364295.1_ASM636429v1_genomic	acrB	srax
GCA_006364295.1_ASM636429v1_genomic	MexF	srax
GCA_006364295.1_ASM636429v1_genomic	oqxB	srax
GCA_006364295.1_ASM636429v1_genomic	adeF	srax
GCA_006364295.1_ASM636429v1_genomic	MexI	srax
GCA_006364295.1_ASM636429v1_genomic	vanA	srax
GCA_006364295.1_ASM636429v1_genomic	vanHA	srax
GCA_006364295.1_ASM636429v1_genomic	vanRA	srax
GCA_006364295.1_ASM636429v1_genomic	vanRC	srax
GCA_006364295.1_ASM636429v1_genomic	vanSA	srax
GCA_006364295.1_ASM636429v1_genomic	vanXA	srax
GCA_006364295.1_ASM636429v1_genomic	vanYA	srax
GCA_006364295.1_ASM636429v1_genomic	adeB	srax
GCA_006364295.1_ASM636429v1_genomic	tet(A)	srax
GCA_006364295.1_ASM636429v1_genomic	EreA2	srax
GCA_006364295.1_ASM636429v1_genomic	EreB	srax
GCA_006364295.1_ASM636429v1_genomic	mphA	srax
GCA_006364295.1_ASM636429v1_genomic	mphC	srax
GCA_006364295.1_ASM636429v1_genomic	mphE	srax
GCA_006364295.1_ASM636429v1_genomic	mexQ	srax
GCA_006364295.1_ASM636429v1_genomic	efmA	srax
GCA_006364295.1_ASM636429v1_genomic	mexY	srax
GCA_006364295.1_ASM636429v1_genomic	MexD	srax
GCA_006364295.1_ASM636429v1_genomic	adeJ	srax
GCA_006364295.1_ASM636429v1_genomic	MexB	srax
GCA_006364295.1_ASM636429v1_genomic	mdtF	srax
GCA_006364295.1_ASM636429v1_genomic	evgS	srax
GCA_006364295.1_ASM636429v1_genomic	MexW	srax
GCA_006364295.1_ASM636429v1_genomic	ErmB	srax
GCA_006364295.1_ASM636429v1_genomic	msrA	srax
GCA_006364295.1_ASM636429v1_genomic	msrC	srax
GCA_006364295.1_ASM636429v1_genomic	msrE	srax
GCA_006364295.1_ASM636429v1_genomic	MuxB	srax
GCA_006364295.1_ASM636429v1_genomic	MuxC	srax
GCA_006364295.1_ASM636429v1_genomic	MexK	srax
GCA_006364295.1_ASM636429v1_genomic	mdsB	srax
GCA_006364295.1_ASM636429v1_genomic	KPC-3	srax
GCA_006364295.1_ASM636429v1_genomic	TEM-1	srax
GCA_006364295.1_ASM636429v1_genomic	Staphylococcus_mupA_conferring_resistance_to_mupirocin	srax
GCA_006364295.1_ASM636429v1_genomic	mdtO	srax
GCA_006364295.1_ASM636429v1_genomic	CARB-3	srax
GCA_006364295.1_ASM636429v1_genomic	mecA	srax
GCA_006364295.1_ASM636429v1_genomic	PC1_beta-lactamase_(blaZ)	srax
GCA_006364295.1_ASM636429v1_genomic	arnA	srax
GCA_006364295.1_ASM636429v1_genomic	MCR-1.1	srax
GCA_006364295.1_ASM636429v1_genomic	MCR-9.1	srax
GCA_006364295.1_ASM636429v1_genomic	catB3	srax
GCA_006364295.1_ASM636429v1_genomic	catI	srax
GCA_006364295.1_ASM636429v1_genomic	catII_from_Escherichia_coli_K-12	srax
GCA_006364295.1_ASM636429v1_genomic	cmlA6	srax
GCA_006364295.1_ASM636429v1_genomic	cmx	srax
GCA_006364295.1_ASM636429v1_genomic	floR	srax
GCA_006364295.1_ASM636429v1_genomic	mexN	srax
GCA_006364295.1_ASM636429v1_genomic	arr-3	srax
GCA_006364295.1_ASM636429v1_genomic	sul1	srax
GCA_006364295.1_ASM636429v1_genomic	sul2	srax
GCA_006364295.1_ASM636429v1_genomic	sul3	srax
GCA_006364295.1_ASM636429v1_genomic	tet(B)	srax
GCA_006364295.1_ASM636429v1_genomic	tet(D)	srax
GCA_006364295.1_ASM636429v1_genomic	tet(E)	srax
GCA_006364295.1_ASM636429v1_genomic	tet(G)	srax
GCA_006364295.1_ASM636429v1_genomic	tet(K)	srax
GCA_006364295.1_ASM636429v1_genomic	tet(L)	srax
GCA_006364295.1_ASM636429v1_genomic	tetM	srax
GCA_006364295.1_ASM636429v1_genomic	TriC	srax
GCA_006364295.1_ASM636429v1_genomic	tetR	srax
GCA_006364295.1_ASM636429v1_genomic	Acinetobacter_baumannii_gyrA_conferring_resistance_to_fluoroquinolones	srax
GCA_006364295.1_ASM636429v1_genomic	Acinetobacter_baumannii_parC_conferring_resistance_to_fluoroquinolone	srax
GCA_006364295.1_ASM636429v1_genomic	D_Ala_D_Ala_ligase	srax
GCA_006364295.1_ASM636429v1_genomic	eatAv	srax
GCA_006364295.1_ASM636429v1_genomic	Enterococcus_faecium_cls_conferring_resistance_to_daptomycin	srax
GCA_006364295.1_ASM636429v1_genomic	Enterococcus_faecium_EF_Tu_mutants_conferring_resistance_to_GE2270A	srax
GCA_006364295.1_ASM636429v1_genomic	Enterococcus_faecium_liaS_mutant_conferring_daptomycin_resistance	srax
GCA_006364295.1_ASM636429v1_genomic	Escherichia_coli_cyaA_with_mutation_conferring_resistance_to_fosfomycin	srax
