biosample	BioProject	Organism	run	Assay Type	AvgSpotLen	pre_filtering_bases	Instrument	LibraryLayout	ReleaseDate	assembly_filename	post_filt_total_reads	post_filt_total_bases	pre_spades_assembly	pre_skesa_assembly	post_spades	post_skesa	snp	del	ins	het	unaligned
SAMN16357501	PRJNA231221	Acinetobacter baumannii	SRR13674445	WGS	302	2515110964	Illumina NovaSeq 6000	PAIRED	2021-02-10T00:00:00Z	GCF_016903215.1_ASM1690321v1	14407136	2175477536	PASS	PASS	PASS	PASS	0	0	0	39	62335
SAMN16357502	PRJNA231221	Acinetobacter baumannii	SRR13674446	WGS	302	2449342612	Illumina NovaSeq 6000	PAIRED	2021-02-10T00:00:00Z	GCF_016903135.1_ASM1690313v1	14100670	2129201170	PASS	PASS	PASS	PASS	0	0	0	45	77810
SAMN16357205	PRJNA231221	Acinetobacter baumannii	SRR12825852	WGS	302	2563616694	Illumina HiSeq 4000	PAIRED	2020-10-18T00:00:00Z	GCF_016127515.1_ASM1612751v1	15146220	2287079220	PASS	PASS	PASS	PASS	0	0	0	240	99640
SAMN10163228	PRJNA231221	Acinetobacter baumannii	SRR8180477	WGS	302	3435888730	Illumina HiSeq 4000	PAIRED	2018-11-09T00:00:00Z	GCF_003812385.1_ASM381238v1	20082386	3032440286	PASS	PASS	PASS	PASS	68	0	2	20	110833
SAMN10163233	PRJNA231221	Acinetobacter baumannii	SRR8180786	WGS	302	2366493442	Illumina HiSeq 4000	PAIRED	2018-11-09T00:00:00Z	GCF_003812065.1_ASM381206v1	14089102	2127454402	PASS	PASS	PASS	PASS	34	0	1	55	184628
SAMN03455926	PRJNA279607	Aeromonas veronii	SRR3465535	WGS	600	1392800400	Illumina MiSeq	PAIRED	2016-06-18T00:00:00Z	GCF_001634325.1_ASM163432v1	2880948	864284400	PASS	PASS	PASS	PASS	0	0	0	215	145784
SAMN04014863	PRJNA292901	Citrobacter freundii	SRR3112272	WGS	202	502687100	Illumina HiSeq 2500	PAIRED	2016-01-21T00:00:00Z	GCF_002796505.1_ASM279650v1	4834254	488259654	PASS	PASS	PASS	PASS	0	0	0	239	65118
SAMN02713684	PRJNA202883	Citrobacter freundii	SRR1284629	WGS	400	632560000	Illumina MiSeq	PAIRED	2014-05-13T00:00:00Z	GCF_000648515.1_ASM64851v1	2550988	510197600	PASS	PASS	PASS	PASS	0	2	2	5225	92219
SAMN03733754	PRJNA353060	Citrobacter freundii	SRR5713999	WGS	563	1132132062	Illumina MiSeq	SINGLE	2017-06-20T00:00:00Z	GCF_001022275.1_ASM102227v1	2668012	745479240	PASS	PASS	PASS	PASS	0	0	0	287	104462
SAMN03733741	PRJNA246471	Citrobacter freundii	SRR2965690	WGS	302	382812482	Illumina HiSeq 2000	PAIRED	2015-12-05T00:00:00Z	GCF_001022155.1_ASM102215v1	2433536	367463936	PASS	PASS	PASS	PASS	0	0	0	4302	130655
SAMN16357574	PRJNA231221	Enterobacter asburiae	SRR15075451	WGS	302	3096880744	Illumina NovaSeq 6000	PAIRED	2021-07-08T00:00:00Z	GCF_019048485.1_ASM1904848v1	15737174	2376313274	PASS	PASS	PASS	PASS	0	0	0	373	65865
SAMN03733641	PRJNA246471	Enterobacter asburiae	SRR2965752	WGS	302	334354770	Illumina HiSeq 2000	PAIRED	2015-12-06T00:00:00Z	GCF_001022095.1_ASM102209v1	2115398	319425098	PASS	PASS	PASS	PASS	0	0	0	4639	131628
SAMN16357569	PRJNA231221	Enterobacter bugandensis	SRR15075415	WGS	302	4224605822	Illumina NovaSeq 6000	PAIRED	2021-07-08T00:00:00Z	GCF_019046905.1_ASM1904690v1	21008114	3172225214	PASS	PASS	PASS	PASS	0	0	0	329	83876
SAMN16357570	PRJNA231221	Enterobacter cancerogenus	SRR15075446	WGS	302	2501569586	Illumina NovaSeq 6000	PAIRED	2021-07-08T00:00:00Z	GCF_019047785.1_ASM1904778v1	13288974	2006635074	PASS	PASS	PASS	PASS	0	4	0	266	41068
SAMN11056357	PRJNA231221	Enterobacter cloacae	SRR8984857	WGS	302	1727378694	Illumina HiSeq 4000	PAIRED	2019-04-29T00:00:00Z	GCF_008693905.1_ASM869390v1	9922044	1498228644	PASS	PASS	PASS	PASS	0	0	0	82	38792
SAMN02934530	PRJNA231221	Enterobacter cloacae	SRR1609081	WGS	202	1149710674	Illumina HiSeq 2000	PAIRED	2014-10-09T00:00:00Z	GCF_000783675.2_ASM78367v2	10954482	1106402682	PASS	PASS	PASS	PASS	0	0	0	256	128063
SAMN16357573	PRJNA231221	Enterobacter cloacae	SRR15075450	WGS	302	4535197420	Illumina NovaSeq 6000	PAIRED	2021-07-08T00:00:00Z	GCF_019047105.1_ASM1904710v1	22269454	3362687554	PASS	PASS	PASS	PASS	0	0	0	307	169895
SAMN16357576	PRJNA231221	Enterobacter hormaechei	SRR15075461	WGS	302	3249296218	Illumina NovaSeq 6000	PAIRED	2021-07-08T00:00:00Z	GCF_019047945.1_ASM1904794v1	16914152	2554036952	PASS	PASS	PASS	PASS	0	0	0	285	42514
SAMN16357247	PRJNA231221	Enterobacter hormaechei	SRR12931606	WGS	302	2397453274	Illumina HiSeq 4000	PAIRED	2020-10-29T00:00:00Z	GCF_016725825.1_ASM1672582v1	14100224	2129133824	PASS	PASS	PASS	PASS	0	0	0	46	59201
SAMN16357577	PRJNA231221	Enterobacter hormaechei	SRR15075463	WGS	302	4119062560	Illumina NovaSeq 6000	PAIRED	2021-07-08T00:00:00Z	GCF_019048625.1_ASM1904862v1	21183278	3198674978	PASS	PASS	PASS	PASS	0	0	0	157	60542
SAMN02713646	PRJNA202892	Enterobacter hormaechei	SRR1576808	WGS	400	634463200	Illumina MiSeq	PAIRED	2014-09-19T00:00:00Z	GCF_000750275.1_ASM75027v1	2436958	487391600	PASS	PASS	PASS	PASS	0	0	0	6226	73363
SAMN03733769	PRJNA353060	Enterobacter hormaechei	SRR5713996	WGS	514	773182753	Illumina MiSeq	SINGLE	2017-06-20T00:00:00Z	GCF_001022075.1_ASM102207v1	2501546	625617147	PASS	PASS	PASS	PASS	0	0	0	570	76677
SAMN03733727	PRJNA246471	Enterobacter hormaechei	SRR2965806	WGS	302	370998846	Illumina HiSeq 2000	PAIRED	2015-12-06T00:00:00Z	GCF_001874505.1_ASM187450v1	2341038	353496738	PASS	PASS	PASS	PASS	0	0	0	4757	79707
SAMN03733830	PRJNA246471	Enterobacter hormaechei	SRR2965616	WGS	302	486084100	Illumina HiSeq 2000	PAIRED	2015-12-06T00:00:00Z	GCF_001022255.1_ASM102225v1	2812420	424675420	PASS	PASS	PASS	PASS	0	0	0	4253	79770
SAMN03733748	PRJNA246471	Enterobacter hormaechei	SRR2965815	WGS	302	527865800	Illumina HiSeq 2000	PAIRED	2015-12-06T00:00:00Z	GCF_001022015.1_ASM102201v1	3097278	467688978	PASS	PASS	PASS	PASS	0	0	0	5956	79777
SAMN03733827	PRJNA246471	Enterobacter hormaechei	SRR2965612	WGS	302	512700568	Illumina HiSeq 2000	PAIRED	2015-12-06T00:00:00Z	GCF_001022055.1_ASM102205v1	2981284	450173884	PASS	PASS	PASS	PASS	0	0	0	4338	88323
